"Table name
","Statecode
","Disttcode
",Areaname,Total/,Educational level,"Present age
",Total women ,Total ever married women,0,1,2,3,4,5,6,7+,P,M,F
F0324,24,000,State -  GUJARAT,Rural,Total,All Ages,16895450,9954305,1353814,1286876,2264025,2013881,1348006,762672,435203,489828,27570113,14558157,13011956
F0324,24,000,State -  GUJARAT,Rural,Total,Less than 15,5137116,57432,40429,3433,13570,0,0,0,0,0,30573,16653,13920
F0324,24,000,State -  GUJARAT,Rural,Total,15-19,1624960,355367,257680,61356,18220,8002,10109,0,0,0,162238,86876,75362
F0324,24,000,State -  GUJARAT,Rural,Total,20-24,1515353,1108839,411093,357730,233100,74179,19992,5602,2489,4654,1204712,627954,576758
F0324,24,000,State -  GUJARAT,Rural,Total,25-29,1328138,1247298,179619,272528,411171,245237,93957,28358,8689,7739,2462762,1284643,1178119
F0324,24,000,State -  GUJARAT,Rural,Total,30-34,1258397,1233666,93471,139464,389440,319573,169768,73508,29667,18775,3247934,1695975,1551959
F0324,24,000,State -  GUJARAT,Rural,Total,35-39,1149061,1135229,66176,101228,318927,298461,182259,91413,44039,32726,3337521,1745827,1591694
F0324,24,000,State -  GUJARAT,Rural,Total,40-44,1052829,1043101,55892,82455,261758,274530,179132,95169,49390,44775,3268857,1719369,1549488
F0324,24,000,State -  GUJARAT,Rural,Total,45-49,891708,884955,47450,69663,199037,228826,158373,87532,47056,47018,2879873,1528341,1351532
F0324,24,000,State -  GUJARAT,Rural,Total,50-54,732093,727110,41805,52170,139941,181035,139583,80632,44596,47348,2480642,1322509,1158133
F0324,24,000,State -  GUJARAT,Rural,Total,55-59,592318,588754,35672,40912,96178,134194,117816,73496,42672,47814,2111276,1127820,983456
F0324,24,000,State -  GUJARAT,Rural,Total,60-64,528694,522999,36599,36034,70967,101449,102865,73079,46585,55421,1979698,1054582,925116
F0324,24,000,State -  GUJARAT,Rural,Total,65-69,383659,378450,27708,24069,42722,62210,71262,57602,40294,52583,1531341,816102,715239
F0324,24,000,State -  GUJARAT,Rural,Total,70-74,303123,300368,24416,19244,30016,41225,51098,46127,35869,52373,1273144,678520,594624
F0324,24,000,State -  GUJARAT,Rural,Total,75-79,148461,147289,11768,8958,13096,17643,22509,22683,19125,31507,660282,352542,307740
F0324,24,000,State -  GUJARAT,Rural,Total,80+,193131,187813,17009,12364,17230,20725,25417,25501,23624,45943,855875,455666,400209
F0324,24,000,State -  GUJARAT,Rural,Illiterate,All Ages,7942251,5137766,447821,467238,900065,1092077,891932,570866,350725,417042,17395358,9167514,8227844
F0324,24,000,State -  GUJARAT,Rural,Illiterate,Less than 15,2592766,12677,4653,1070,6954,0,0,0,0,0,14978,8001,6977
F0324,24,000,State -  GUJARAT,Rural,Illiterate,15-19,219570,88600,52106,19291,7044,3974,6185,0,0,0,70041,37485,32556
F0324,24,000,State -  GUJARAT,Rural,Illiterate,20-24,368819,326956,89706,99871,83794,36241,11021,3142,1254,1927,458108,237761,220347
F0324,24,000,State -  GUJARAT,Rural,Illiterate,25-29,432155,420614,43622,60451,121335,113101,54214,18443,5676,3772,1015789,526136,489653
F0324,24,000,State -  GUJARAT,Rural,Illiterate,30-34,508261,501933,31365,36144,107091,144137,99097,49469,21640,12990,1556342,803206,753136
F0324,24,000,State -  GUJARAT,Rural,Illiterate,35-39,553263,548381,28348,35642,103440,144676,111649,64506,33828,26292,1851423,956782,894641
